Sample Time,Signal Value
0,0
0.01,0.164676028
0.02,0.19890351
0.03,0.152384645
0.04,0.187052364
0.05,0.353048924
0.06,0.519025183
0.07,0.553001327
0.08,0.504066452
0.09,0.534036688
0.1,0.693437914
0.11,0.851129192
0.12,0.874743545
0.13,0.812806166
0.14,0.827074645
0.15,0.968528457
0.16,1.106317549
0.17,1.107781493
0.18,1.020984481
0.19,1.007738194
0.2,1.119600015
0.21,1.226146954
0.22,1.19457061
0.23,1.072626134
0.24,1.022337201
0.25,1.096003745
0.26,1.163800219
0.27,1.09294255
0.28,0.931046939
0.29,0.840515081
0.3,0.874550933
0.31,0.904081025
0.32,0.79648839
0.33,0.599375951
0.34,0.475629155
0.35,0.479440437
0.36,0.482548718
0.37,0.352534899
0.38,0.136984519
0.39,-0.000774821
0.4,-0.005642017
0.41,-0.005185643
0.42,-0.131790846
0.43,-0.338100859
0.44,-0.460605035
0.45,-0.443598276
0.46,-0.414305394
0.47,-0.505470492
0.48,-0.670401777
0.49,-0.745880555
0.5,-0.676104258
0.51,-0.588485031
0.52,-0.616676024
0.53,-0.715212838
0.54,-0.721733177
0.55,-0.580890503
0.56,-0.420814482
0.57,-0.376563609
0.58,-0.40435225
0.59,-0.343067071
0.6,-0.138135739
0.61,0.081364605
0.62,0.178839062
0.63,0.196371976
0.64,0.293924538
0.65,0.525521757
0.66,0.761503074
0.67,0.864240423
0.68,0.874758298
0.69,0.952643667
0.7,1.152285034
0.71,1.344473297
0.72,1.391690842
0.73,1.335135252
0.74,1.335320672
0.75,1.44834596
0.76,1.546817812
0.77,1.494677214
0.78,1.334590449
0.79,1.229206208
0.8,1.237417732
0.81,1.234571536
0.82,1.086792942
0.83,0.83870806
0.84,0.65532615
0.85,0.598271489
0.86,0.545257779
0.87,0.363897257
0.88,0.099746179
0.89,-0.081183491
0.9,-0.1162068
0.91,-0.127201041
0.92,-0.247280217
0.93,-0.43238269
0.94,-0.518073993
0.95,-0.443276807
0.96,-0.332141663
0.97,-0.321126707
0.98,-0.370135712
0.99,-0.318547845
1,-0.108806118
1.01,0.131160358
1.02,0.260526025
1.03,0.314945203
1.04,0.451349405
1.05,0.724539966
1.06,1.004233321
1.07,1.147315168
1.08,1.187702806
1.09,1.28191937
1.1,1.48579439
1.11,1.670878028
1.12,1.696236151
1.13,1.598655183
1.14,1.538836166
1.15,1.578036584
1.16,1.593679747
1.17,1.450515115
1.18,1.190997514
1.19,0.981950426
1.2,0.891022662
1.21,0.80139476
1.22,0.582240066
1.23,0.279255545
1.24,0.061820293
1.25,-0.000656173
1.26,-0.024805259
1.27,-0.14336619
1.28,-0.314287521
1.29,-0.372815796
1.3,-0.254965509
1.31,-0.084059114
1.32,-0.001007406
1.33,0.027265101
1.34,0.156774696
1.35,0.443446655
1.36,0.756311135
1.37,0.947147264
1.38,1.042795983
1.39,1.19513768
1.4,1.45839008
1.41,1.701838671
1.42,1.779112736
1.43,1.720862931
1.44,1.685322924
1.45,1.735448775
1.46,1.750664782
1.47,1.595244946
1.48,1.31085075
1.49,1.067225008
