sample,x,y_orig_r,y_orig_i,y_filt_r,y_filt_i
0,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
1,  0.0100,  0.1647,  0.0000,  0.1621,  0.0000
2,  0.0200,  0.1989,  0.0000,  0.1908,  0.0000
3,  0.0300,  0.1524,  0.0000,  0.1391,  0.0000
4,  0.0400,  0.1871,  0.0000,  0.1689,  0.0000
5,  0.0500,  0.3530,  0.0000,  0.3271,  0.0000
6,  0.0600,  0.5190,  0.0000,  0.4804,  0.0000
7,  0.0700,  0.5530,  0.0000,  0.4990,  0.0000
8,  0.0800,  0.5041,  0.0000,  0.4354,  0.0000
9,  0.0900,  0.5340,  0.0000,  0.4514,  0.0000
10,  0.1000,  0.6934,  0.0000,  0.5944,  0.0000
11,  0.1100,  0.8511,  0.0000,  0.7313,  0.0000
12,  0.1200,  0.8747,  0.0000,  0.7319,  0.0000
13,  0.1300,  0.8128,  0.0000,  0.6483,  0.0000
14,  0.1400,  0.8271,  0.0000,  0.6423,  0.0000
15,  0.1500,  0.9685,  0.0000,  0.7617,  0.0000
16,  0.1600,  1.1063,  0.0000,  0.8738,  0.0000
17,  0.1700,  1.1078,  0.0000,  0.8482,  0.0000
18,  0.1800,  1.0210,  0.0000,  0.7365,  0.0000
19,  0.1900,  1.0077,  0.0000,  0.7007,  0.0000
20,  0.2000,  1.1196,  0.0000,  0.7891,  0.0000
21,  0.2100,  1.2261,  0.0000,  0.8696,  0.0000
22,  0.2200,  1.1946,  0.0000,  0.8116,  0.0000
23,  0.2300,  1.0726,  0.0000,  0.6665,  0.0000
24,  0.2400,  1.0223,  0.0000,  0.5963,  0.0000
25,  0.2500,  1.0960,  0.0000,  0.6504,  0.0000
26,  0.2600,  1.1638,  0.0000,  0.6971,  0.0000
27,  0.2700,  1.0929,  0.0000,  0.6057,  0.0000
28,  0.2800,  0.9310,  0.0000,  0.4276,  0.0000
29,  0.2900,  0.8405,  0.0000,  0.3252,  0.0000
30,  0.3000,  0.8746,  0.0000,  0.3487,  0.0000
31,  0.3100,  0.9041,  0.0000,  0.3670,  0.0000
32,  0.3200,  0.7965,  0.0000,  0.2497,  0.0000
33,  0.3300,  0.5994,  0.0000,  0.0479,  0.0000
34,  0.3400,  0.4756,  0.0000, -0.0754,  0.0000
35,  0.3500,  0.4794,  0.0000, -0.0693,  0.0000
36,  0.3600,  0.4825,  0.0000, -0.0641,  0.0000
37,  0.3700,  0.3525,  0.0000, -0.1901,  0.0000
38,  0.3800,  0.1370,  0.0000, -0.3965,  0.0000
39,  0.3900, -0.0008,  0.0000, -0.5198,  0.0000
40,  0.4000, -0.0056,  0.0000, -0.5085,  0.0000
41,  0.4100, -0.0052,  0.0000, -0.4924,  0.0000
42,  0.4200, -0.1318,  0.0000, -0.6018,  0.0000
43,  0.4300, -0.3381,  0.0000, -0.7863,  0.0000
44,  0.4400, -0.4606,  0.0000, -0.8826,  0.0000
45,  0.4500, -0.4436,  0.0000, -0.8385,  0.0000
46,  0.4600, -0.4143,  0.0000, -0.7838,  0.0000
47,  0.4700, -0.5055,  0.0000, -0.8493,  0.0000
48,  0.4800, -0.6704,  0.0000, -0.9854,  0.0000
49,  0.4900, -0.7459,  0.0000, -1.0292,  0.0000
50,  0.5000, -0.6761,  0.0000, -0.9287,  0.0000
51,  0.5100, -0.5885,  0.0000, -0.8137,  0.0000
52,  0.5200, -0.6167,  0.0000, -0.8163,  0.0000
53,  0.5300, -0.7152,  0.0000, -0.8880,  0.0000
54,  0.5400, -0.7217,  0.0000, -0.8670,  0.0000
55,  0.5500, -0.5809,  0.0000, -0.7015,  0.0000
56,  0.5600, -0.4208,  0.0000, -0.5222,  0.0000
57,  0.5700, -0.3766,  0.0000, -0.4625,  0.0000
58,  0.5800, -0.4044,  0.0000, -0.4755,  0.0000
59,  0.5900, -0.3431,  0.0000, -0.4005,  0.0000
60,  0.6000, -0.1381,  0.0000, -0.1863,  0.0000
61,  0.6100,  0.0814,  0.0000,  0.0355,  0.0000
62,  0.6200,  0.1788,  0.0000,  0.1304,  0.0000
63,  0.6300,  0.1964,  0.0000,  0.1436,  0.0000
64,  0.6400,  0.2939,  0.0000,  0.2352,  0.0000
65,  0.6500,  0.5255,  0.0000,  0.4560,  0.0000
66,  0.6600,  0.7615,  0.0000,  0.6742,  0.0000
67,  0.6700,  0.8642,  0.0000,  0.7545,  0.0000
68,  0.6800,  0.8748,  0.0000,  0.7415,  0.0000
69,  0.6900,  0.9526,  0.0000,  0.7953,  0.0000
70,  0.7000,  1.1523,  0.0000,  0.9672,  0.0000
71,  0.7100,  1.3445,  0.0000,  1.1265,  0.0000
72,  0.7200,  1.3917,  0.0000,  1.1381,  0.0000
73,  0.7300,  1.3351,  0.0000,  1.0473,  0.0000
74,  0.7400,  1.3353,  0.0000,  1.0150,  0.0000
75,  0.7500,  1.4483,  0.0000,  1.0949,  0.0000
76,  0.7600,  1.5468,  0.0000,  1.1580,  0.0000
77,  0.7700,  1.4947,  0.0000,  1.0709,  0.0000
78,  0.7800,  1.3346,  0.0000,  0.8801,  0.0000
79,  0.7900,  1.2292,  0.0000,  0.7491,  0.0000
80,  0.8000,  1.2374,  0.0000,  0.7340,  0.0000
